en_word,pt_word
freeze,congelar
heaven,paraíso
mask,máscara
surprisingly,surpreendentemente
abruptly,abruptamente
begun,começou
customer,cliente
pad,almofada
design,projeto
flop,fracasso
pride,orgulho
yep,sim
interview,entrevista
makeup,inventar
blast,explosão
prince,príncipe
rode,cavalgou
bubble,bolha
rent,aluguel
teen,adolescente
